cid,crystal,inspiration_hits,rmsd_via_combine,n_inspirations,rmsd_via_place,n_inspiration_str,category,SMILES,minimized2hits_rmsd,reference2hits_rmsd,reference2minimized_rmsd,ddG,num_heavy_atoms,LE
JAN-GHE-83b26c96-12,x11368,x0678,1.4616912507434667,1,1.4616912507434667,one,non-covalent,Cc1ccncc1NC(=O)Cc1cccc(Br)c1,0.7950813244568129,1.4616912507434667,1.7591131919868668,-2.608590196742398,18,-0.14492167759679989
JAN-GHE-83b26c96-13,x10565,x0678,1.661135962978347,1,1.2007937739262309,one,non-covalent,Cc1ccncc1NC(=O)Cc1cccc(I)c1,1.1063895392220588,1.661135962978347,2.1019184755308133,-0.31824490815210993,18,-0.01768027267511722
JAN-GHE-83b26c96-14,x10247,x0678,1.5931444732038582,1,1.1528055722887531,one,non-covalent,Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,0.532760030407687,1.1528055722887531,1.5305043364229727,-2.7360474261404306,21,-0.13028797267335385
JAN-GHE-83b26c96-15,x11041,x0678,1.447590562797368,1,0.8305694958882129,one,non-covalent,Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,0.9892783986320534,1.447590562797368,1.5375083739609356,-1.4444657629974245,19,-0.0760245138419697
JAN-GHE-83b26c96-19,x10996,x0678,0.5827633405689748,1,0.7965841528049625,one,non-covalent,O=C(Nc1cccnc1)Nc1cccc(Cl)c1,0.5347969240749236,0.7965841528049625,0.9197066987712473,-2.8837678468933063,17,-0.16963340275842978
JAN-GHE-83b26c96-20,x10392,x0678,0.4365100227944372,1,1.3921027934387604,one,non-covalent,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,0.9756357222344826,1.3921027934387604,1.5609165576673212,-1.4111951020672677,20,-0.07055975510336339
JAN-GHE-83b26c96-21,x10606,x0678,8.679635105891753,1,6.21608733314883,one,non-covalent,Cc1ccncc1NS(=O)(=O)c1cccc(Cl)c1,1.343181693777875,6.188771865241116,5.944155196493443,-1.1695835967561834,18,-0.06497686648645463
JAN-GHE-83b26c96-22,x10422,x0678,1.396581809275776,1,1.396581809275776,one,non-covalent,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,0.8394539147564922,1.396581809275776,1.761161733061447,-1.7790180533668263,20,-0.08895090266834131
JAN-GHE-83b26c96-23,x10396,x0678,1.397664078024473,1,1.397664078024473,one,non-covalent,Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,0.9537752617886458,1.3976640780244727,1.4815641903069876,-1.418061777578714,20,-0.0709030888789357
MAT-POS-7dfc56d9-1,x0161,x0161,0.0,1,1.287182804200154,one,non-covalent,COC(=O)c1ccc(S(N)(=O)=O)cc1,0.4059684188983879,1.287182804200154,1.3736512605877396,-0.8824271555474752,14,-0.06303051111053394
TRY-UNI-2eddb1ff-1,x10314,"x0387,x0678",1.1613530901495888,2,1.339313606852406,two,non-covalent,Cc1ccncc1NC(=O)Cc1cncc(C#N)c1,0.7437430251773794,1.3393136068524059,2.1143446539742463,-1.9843156502713555,19,-0.10443766580375555
TRY-UNI-2eddb1ff-2,x10723,"x0387,x1382",5.285144873447968,2,1.4000964577160715,two,non-covalent,Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,1.068368076940755,4.965400214052669,6.108743869787524,0.0,18,0.0
TRY-UNI-2eddb1ff-3,x10900,"x0104,x0387",4.354320230146913,2,4.85417160800893,two,non-covalent,Cc1ccncc1NC(=O)C(C)c1cncc(Cl)c1,0.879665155450803,5.309330632879325,6.119632578409985,-0.7374744219732747,19,-0.0388144432617513
TRY-UNI-2eddb1ff-7,x10789,x0387,9.209063198827554,1,9.096572211553095,one,non-covalent,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,0.5741122339254385,9.209063198827554,9.658701528069566,-2.390587483413128,24,-0.09960781180888034
JAN-GHE-5a013bed-2,x10466,x0678,1.7591247255382434,1,1.7591247255382434,one,non-covalent,O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21,0.6084249412137116,0.911296548879672,3.900785670861705,-1.5874315204705454,20,-0.07937157602352726
